;动作标识,柜体标识,动作点,点类型
36,38,"yk:station:1,no:1,channel:1,rtu:1,address:3073","yk"
37,40,"yk:station:1,no:53,channel:1,rtu:2,address:110","yk"
38,41,"yk:station:1,no:309,channel:1,rtu:10,address:3073","yk"
52,59,"yk:station:1,no:107,channel:1,rtu:4,address:3073","yk"
53,60,"yk:station:1,no:415,channel:1,rtu:13,address:3073","yk"
54,61,"yk:station:1,no:137,channel:1,rtu:6,address:3073","yk"
55,62,"yk:station:1,no:180,channel:1,rtu:7,address:3073","yk"
56,63,"yk:station:1,no:223,channel:1,rtu:8,address:3073","yk"
57,64,"yk:station:1,no:266,channel:1,rtu:9,address:3073","yk"
58,65,"yk:station:1,no:445,channel:1,rtu:15,address:3073","yk"
59,66,"yk:station:1,no:488,channel:1,rtu:16,address:3073","yk"
60,67,"yk:station:1,no:531,channel:1,rtu:17,address:3073","yk"
61,68,"yk:station:1,no:21,channel:1,rtu:1,address:3093","yk"
62,68,"yk:station:1,no:35,channel:1,rtu:2,address:3073","yk"
63,69,"yk:station:1,no:327,channel:1,rtu:11,address:3073","yk"
64,69,"yk:station:1,no:343,channel:1,rtu:11,address:3073","yk"
