0,MCPR_810Hb_CH,IEC104,V1.01.01,,,,,,
1,1,1,断路器位置遥信,,,,,,
1,2,34,小车工作位置遥信,,,,,,
1,3,35,小车试验位置遥信,,,,,,
1,4,0,接地刀位置遥信,,,,,,
1,5,0,弹簧未储能遥信,,,,,,
1,6,0,重瓦斯跳闸遥信,,,,,,
1,7,0,轻瓦斯告警遥信,,,,,,
1,8,0,超温跳闸遥信,,,,,,
1,9,0,温度告警遥信,,,,,,
1,10,0,开入10遥信,,,,,,
1,11,0,开入11遥信,,,,,,
1,12,0,开入12遥信,,,,,,
1,13,0,手跳开入遥信 ,,,,,,
1,14,0,手合开入遥信,,,,,,
1,15,0,操作回路遥信,,,,,,
1,200,5,速断跳闸,,,,,,
1,201,5,过电流跳闸,,,,,,
1,202,5,零序过流告警,,,,,,
1,203,5,零序过流跳闸,,,,,,
1,204,5,过压告警,,,,,,
1,205,5,过压跳闸,,,,,,
1,206,5,失压跳闸,,,,,,
1,207,5,PT断线告警,,,,,,
1,208,5,非电量1跳闸,,,,,,
1,209,5,非电量2跳闸,,,,,,
1,210,5,重瓦斯跳闸,,,,,,
1,211,5,轻瓦斯告警,,,,,,
1,212,5,超温跳闸,,,,,,
1,213,5,温度告警,,,,,,
1,214,5,不平衡电压跳闸,,,,,,
1,215,5,不平衡电流跳闸,,,,,,
1,216,0,备用,,,,,,
1,217,0,备用,,,,,,
1,218,0,备用,,,,,,
1,219,0,备用,,,,,,
1,220,3,事故总信号,,,,,,
1,221,4,预告总信号,,,,,,
1,400,1,速断保护投退,,,,,,
1,401,1,过电流保护投退,,,,,,
1,402,1,零序过流告警投退,,,,,,
1,403,1,零序过流跳闸投退,,,,,,
1,404,1,过压告警投退,,,,,,
1,405,1,过压跳闸投退,,,,,,
1,406,1,失压跳闸投退,,,,,,
1,407,1,失压电流闭锁投退,,,,,,
1,408,1,重瓦斯跳闸投退,,,,,,
1,409,1,轻瓦斯告警投退,,,,,,
1,410,1,超温跳闸投退,,,,,,
1,411,1,温度告警投退,,,,,,
1,412,1,非电量1保护投退,,,,,,
