0,MTPR_830Hb_CH,IEC104,V1.00.02,,,,,,
1,1,0,本体重瓦斯信号,,,,,,
1,2,0,调压重瓦斯信号,,,,,,
1,3,0,压力释放信号,,,,,,
1,4,0,备用非电量信号,,,,,,
1,5,0,本体轻瓦斯信号,,,,,,
1,6,0,调压轻瓦斯信号,,,,,,
1,7,0,油温高信号,,,,,,
1,8,0,油位低信号,,,,,,
1,9,0,冷控失电信号,,,,,,
1,10,0,开入10,,,,,,
1,11,0,开入11,,,,,,
1,12,0,开入12,,,,,,
1,13,0,备用,,,,,,
1,14,0,备用,,,,,,
1,15,0,备用,,,,,,
1,16,0,备用,,,,,,
1,17,0,开入13,,,,,,
1,18,0,开入14,,,,,,
1,19,0,开入15,,,,,,
1,20,0,差动保护压板信号,,,,,,
1,200,5,差动速断动作,,,,,,
1,201,5,比率差动动作,,,,,,
1,202,5,差流越限告警,,,,,,
1,203,5,CT断线告警,,,,,,
1,204,5,本体重瓦斯,,,,,,
1,205,5,调压重瓦斯,,,,,,
1,206,5,压力释放,,,,,,
1,207,5,备用非电量,,,,,,
1,208,5,本体轻瓦斯,,,,,,
1,209,5,调压轻瓦斯,,,,,,
1,210,5,油温高,,,,,,
1,211,5,油位低,,,,,,
1,212,5,长冷控失电动作,,,,,,
1,213,5,短冷控失电动作,,,,,,
1,214,5,备用,,,,,,
1,215,5,备用,,,,,,
1,216,3,事故总信号,,,,,,
1,217,4,预告总信号,,,,,,
1,400,1,差动速断保护投退,,,,,,
1,401,1,比率差动保护投退,,,,,,
1,402,1,差流越限告警投退,,,,,,
1,403,1,CT断线告警投退,,,,,,
1,404,1,CT断线闭锁投退,,,,,,
1,405,1,高温保护投退,,,,,,
1,406,1,冷控失电投退,,,,,,
5,4096,3,复归,4096,,,,,
5,3585,0,差动速断保护投退,3585,,,,,
5,3586,0,比率差动保护投退,3586,,,,,
5,3587,0,差流越限告警投退,3587,,,,,
5,3588,0,CT断线告警投退,3588,,,,,
5,3589,0,CT断线闭锁投退,3589,,,,,
5,3590,0,高温保护投退,3590,,,,,
5,3591,0,冷控失电投退,3591,,,,,
7,4867,6,4,,65535,0,1,1,投退字1[禁止修改]
7,4868,6,4,,65535,0,1,1,投退字2[禁止修改]
7,4869,6,4,,65535,0,1,1,投退字3[禁止修改]
7,4870,6,4,,65535,0,1,1,投退字4[禁止修改]
7,4871,6,4,A,10,0.1,0.01,1,突变量启动值
7,4872,6,4,A,100,0.1,0.01,1,差动速断电流定值
7,4873,6,4,A,100,0.1,0.01,1,比率差动最小门槛值
7,4874,6,4,A,100,0.1,0.01,1,比率制动拐点1
7,4875,6,4,A,100,0.1,0.01,1,比率制动拐点2
7,4876,6,4,,1,0.1,0.01,1,比率制动系数1
7,4877,6,4,,1,0.1,0.01,1,比率制动系数2
7,4878,6,4,,1,0.1,0.01,1,二次谐波制动系数
7,4879,6,4,A,100,0.1,0.01,1,差流越限定值
7,4880,6,4,A,100,0.1,0.01,1,CT闭锁电流
7,4881,6,4,s,100,0.1,0.01,1,CT告警延时
7,4882,6,4,s,100,0,0.01,1,高温延时
7,4883,6,4,s,100,0,0.01,1,冷控失电长延时
7,4884,6,4,s,100,0,0.01,1,冷控失电短延时
