0,DM-210P,IEC104,V1.01.01
1,1,0,小车工作位置
1,2,0,小车试验位置
1,3,0,远方/就地
1,4,0,开入4
1,5,0,开入5
1,6,0,开入6
1,7,0,开入7
1,8,0,开入8
1,9,0,开入9
1,10,0,开入10
1,11,0,开入11
1,12,0,开入12
1,13,0,开入13
1,14,0,PT手动并列
1,15,0,PT手动解列
1,16,0,并列允许
1,17,0,并列接点
1,18,0,加热回路1
1,19,0,加热回路2
1,200,5,PT并列动作
1,201,5,Ⅰ段过电压动作
1,202,5,Ⅱ段过电压动作
1,203,5,Ⅰ段低电压动作
1,204,5,Ⅱ段低电压动作
1,205,5,Ⅰ段零序过压告警
1,206,5,Ⅱ段零序过压告警
1,207,5,Ⅰ段PT断线告警
1,208,5,Ⅱ段PT断线告警
1,209,5,备用
1,210,5,备用
1,211,5,备用
1,212,5,备用,
1,213,5,备用,
1,214,5,事故总信号,
1,215,5,预告总信号,
1,400,1,Ⅰ段过电压告警投退,
1,401,1,Ⅰ段低电压告警投退,
1,402,1,Ⅱ段过电压告警投退,
1,403,1,Ⅱ段低电压告警投退,
1,404,1,Ⅰ段接地告警投退,
1,405,1,Ⅱ段接地告警投退,
1,406,1,Ⅰ段PT断线投退,
1,407,1,Ⅱ段PT断线投退,
5,3073,0,遥控,3073
5,4096,3,复归,4096
5,3585,0,Ⅰ段过电压告警投退,3585
5,3586,0,Ⅰ段低电压告警投退,3586
5,3587,0,Ⅱ段过电压告警投退,3587,,,,,
5,3588,0,Ⅱ段低电压告警投退,3588,,,,,
5,3589,0,Ⅰ段接地告警投退,3589,,,,,
5,3590,0,Ⅱ段接地告警投退,3590,,,,,
5,3591,0,Ⅰ段PT断线投退,3591,,,,,
5,3592,0,Ⅱ段PT断线投退,3592,,,,,
2,2049,2,V,1,0,2,Ua1,1,1
2,2050,2,V,1,0,2,Ub1,1,1
2,2051,2,V,1,0,2,Uc1,1,1
2,2052,2,V,1,0,2,Uab1,1,1
2,2053,2,V,1,0,2,Ubc1,1,1
2,2054,2,V,1,0,2,Uca1,1,1
2,2055,2,V,1,0,2,U01,1,1
2,2056,7,HZ,1,0,2,F1,1,1
2,2057,2,V,1,0,2,Ua2,1,1
2,2058,2,V,1,0,2,Ub2,1,1
2,2059,2,V,1,0,2,Uc2,1,1
2,2060,2,V,1,0,2,Uab2,1,1
2,2061,2,V,1,0,2,Ubc2,1,1
2,2062,2,V,1,0,2,Uca2,1,1
2,2063,2,V,1,0,2,U02,1,1
2,2064,7,HZ,1,0,2,F2,1,1
2,2065,6,℃,1,0,2,温度1,1,1
2,2066,0,%,1,0,2,湿度1,1,1
2,2067,6,℃,1,0,2,温度2,1,1
2,2068,0,%,1,0,2,湿度2,1,1
7,4867,6,4,,65535,0,1,1,投退字1[禁止修改]
7,4868,6,4,,65535,0,1,1,投退字2[禁止修改]
7,4869,6,4,,65535,0,1,1,投退字3[禁止修改]
7,4870,6,4,,65535,0,1,1,投退字4[禁止修改]
7,4871,6,4,V,120,10,0.01,1,Ⅰ段过压定值
7,4872,6,4,V,100,10,0.01,1,Ⅰ段低压定值
7,4873,6,4,V,100,5,0.01,1,Ⅰ段无压定值
7,4874,6,4,S,100,0.5,0.01,1,Ⅰ段过压延时
7,4875,6,4,S,100,0.5,0.01,1,Ⅰ段低压延时
7,4876,6,4,V,120,10,0.01,1,Ⅱ段过压定值
7,4877,6,4,V,100,10,0.01,1,Ⅱ段低压定值
7,4878,6,4,V,100,5,0.01,1,Ⅱ段无压定值
7,4879,6,4,S,100,0.5,0.01,1,Ⅱ段过压延时
7,4880,6,4,S,100,0.5,0.01,1,Ⅱ段低压延时
7,4881,6,4,V,100,1,0.01,1,Ⅰ段零序定值
7,4882,6,4,S,100,0.5,0.01,1,Ⅰ段零序延时
7,4883,6,4,V,100,1,0.01,1,Ⅱ段零序定值
7,4884,6,4,S,100,0.5,0.01,1,Ⅱ段零序延时
