;"定值表"
;"所属通道","所属RTU","地址","名称","定值数据类型","定值数据长度","量程单位","工程值转换系数","属性配置","下限值","上限值","步长"
"1","3","1303H","投退字1[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","3","1304H","投退字2[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","3","1305H","投退字3[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","3","1306H","投退字4[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","3","1307H","备自投方式","6","4","0","1.000000","00000000H","0.000000","4.000000","1.000000"
"1","3","1308H","1#母线有电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","1309H","1#母线无电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","130AH","2#母线有电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","130BH","2#母线无电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","130CH","1#进线有电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","130DH","1#进线无电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","130EH","2#进线有电压值","6","4","2","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","130FH","2#进线无电压值","6","4","2","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1310H","1#进线无电流值","6","4","1","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1311H","2#进线无电流值","6","4","1","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1312H","自投跳1QF延时","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1313H","自投跳2QF延时","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1314H","自投备用延时","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1315H","分段过流电流","6","4","1","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1316H","分段过流延时","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1317H","母充保护电流","6","4","1","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","1318H","母充保护延时","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","3","1319H","负序电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","131AH","低电压值","6","4","2","1.000000","00000000H","0.000000","400.000000","0.010000"
"1","3","131BH","跳闸脉冲","6","4","28","1.000000","00000000H","100.000000","800.000000","1.000000"
"1","3","131CH","合闸脉冲","6","4","28","1.000000","00000000H","100.000000","800.000000","1.000000"
"1","2","1303H","投退字1[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","2","1304H","投退字2[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","2","1305H","投退字3[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","2","1306H","投退字4[禁止修改]","6","4","0","1.000000","00000000H","0.000000","65535.000000","1.000000"
"1","2","1307H","过流Ⅰ段电流定值","6","4","1","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","1308H","过流Ⅰ段延时定值","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","2","1309H","过流Ⅱ段电流定值","6","4","1","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","130AH","过流Ⅱ段延时定值","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","2","130BH","过流Ⅲ段电流定值","6","4","1","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","130CH","过流Ⅲ段延时定值","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","2","130DH","零序电压闭锁值","6","4","2","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","130EH","零序过流电流定值","6","4","1","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","130FH","零序过流延时定值","6","4","25","1.000000","00000000H","0.000000","100.000000","0.010000"
"1","2","1310H","失压保护电压定值","6","4","2","1.000000","00000000H","30.000000","100.000000","0.010000"
"1","2","1311H","失压无流定值","6","4","1","1.000000","00000000H","0.100000","10.000000","0.010000"
"1","2","1312H","失压保护延时定值","6","4","25","1.000000","00000000H","0.500000","100.000000","0.010000"
"1","2","1313H","备自投延时定值","6","4","25","1.000000","00000000H","0.500000","100.000000","0.010000"
"1","2","1314H","备自投失压定值","6","4","2","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","1315H","备自投有压定值","6","4","2","1.000000","00000000H","30.000000","100.000000","0.010000"
"1","2","1316H","重合闸延时定值","6","4","25","1.000000","00000000H","0.100000","10.000000","0.010000"
"1","2","1317H","重合闸角差定值","6","4","26","1.000000","00000000H","0.000000","60.000000","0.010000"
"1","2","1318H","重合闸压差定值","6","4","2","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","1319H","重合闸频差定值","6","4","5","1.000000","00000000H","0.010000","10.000000","0.010000"
"1","2","131AH","重合闸有压定值","6","4","2","1.000000","00000000H","30.000000","100.000000","0.010000"
"1","2","131BH","重合闸无压定值","6","4","2","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","131CH","过流后加速电流定值","6","4","1","1.000000","00000000H","0.100000","100.000000","0.010000"
"1","2","131DH","过流后加速延时定值","6","4","25","1.000000","00000000H","0.000000","3.000000","0.010000"
