"术语类型","术语编号","术语名称"
"1","1","动作"
"1","2","复归"
"1","3","合闸"
"1","4","分闸"
"1","5","拉出"
"1","6","推进"
"1","7","拉开"
"1","8","合上"
"1","9","未储能"
"1","10","已储能"
"1","11","投入"
"1","12","退出"
"1","13","挂牌"
"1","14","摘牌"
"2","0","none"
"2","1","dimensionless"
"2","2","meter"
"2","3","kilogram"
"2","4","second"
"2","5","ampere"
"2","6","Kelvin"
"2","7","mole"
"2","8","candela"
"2","9","degrees"
"2","10","radian"
"2","11","steradian"
"2","21","Gray"
"2","22","becquerel"
"2","23","degrees Celsius"
"2","24","sievert"
"2","25","farad"
"2","26","coulomb"
"2","27","siemens"
"2","28","henry"
"2","29","volt"
"2","30","ohm"
"2","31","joule"
"2","32","newton"
"2","33","hertz"
"2","34","lux"
"2","35","lumen"
"2","36","weber"
"2","37","tesla"
"2","38","watt"
"2","39","pascal"
"2","41","square meter"
"2","42","cubic meter"
"2","43","meters per second"
"2","44","meters per second2"
"2","45","cubic meters per second"
"2","46","meters/cubic meter"
"2","47","kilogram meter"
"2","48","kilogram/cubic meter"
"2","49","meter square/second"
"2","50","watt/meter Kelvin"
"2","51","joule/Kelvin"
"2","52","parts per million"
"2","53","rotations per second"
"2","54","radian per second"
"2","61","volt ampere"
"2","62","watts"
"2","63","volt ampere reactive"
"2","64","phase angle degrees"
"2","65","Power factor"
"2","66","volt seconds"
"2","67","volt square"
"2","68","amp second"
"2","69","amp square"
"2","70","amp square second"
"2","71","volt ampere hours"
"2","72","watt hours"
"2","73","volt ampere reactive hours"
"2","74","volts per hertz"
"2","75","herz per second"
"3","1","合闸"
"3","2","分闸"
"3","3","升"
"3","4","降"
"3","5","急停"
"4","1","禁止操作"
"4","2","检修"
"4","3","停运"
"4","4","离线"
"4","5","故障"
"4","6","中间态"
"5","0","3kv"
"5","1","6kv"
"5","2","10kv"
"5","3","35kv"
"5","4","63kv"
"5","5","110kv"
"5","6","220kv"
"5","7","330kv"
"5","8","500kv"
"6","0","未知"
"6","1","线路保护"
"6","2","变压器保护"
"6","97","后台报警设备"
"6","98","后台五防设备"
"6","99","虚拟二次设备"
"6","100","虚拟一次设备"
"6","101","变压器"
"6","102","母线"
"6","103","线路"
"6","104","断路器"
"6","105","电容器"
"6","106","电压互感器"
"6","107","电流互感器"
"6","108","滤波器"
"6","109","发电机"
"6","110","电动机"
"7","1","正常"
"7","2","异常"
"7","3","报警"
"8","0","厂矿电气监控系统"
"8","1","发电厂厂用电监控系统"
"8","2","变电站当地功能"
"8","3","集控站监控系统"
"8","4","调度自动化系统"
"8","5","水电站监控系统"
"8","6","泵站监控系统"
