;定值表
;所属通道,所属RTU,地址,名称,定值数据类型,定值数据长度,量程单位,工程值转换系数,属性配置,下限值,上限值,步长
1,1,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,1,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,1,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,1,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,1,1307H,低电压定值,6,4,2,1.000000,0,0.000000,100.000000,0.010000
1,1,1308H,负序电压,6,4,2,1.000000,0,0.000000,30.000000,0.010000
1,1,1309H,过流Ⅰ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,130AH,过流Ⅱ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,130BH,过流Ⅲ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,130CH,过流Ⅰ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,1,130DH,过流Ⅱ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,1,130EH,过流Ⅲ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,1,130FH,过流Ⅰ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1310H,过流Ⅰ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1311H,过流Ⅰ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1312H,过流Ⅱ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1313H,过流Ⅱ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1314H,过流Ⅱ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1315H,过流Ⅲ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1316H,过流Ⅲ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
