脉冲表
所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程值转换系数,电度表满量程值,脉冲基数,人工置数,存储周期,属性
1,1,1,1,1#高后备保护_MC00001,MTPR_840Hb_CH_IEC104_V1.00.03_正向有功,1201H,1201H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,1,2,1#高后备保护_MC00002,MTPR_840Hb_CH_IEC104_V1.00.03_正向无功,1202H,1202H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,1,3,1#高后备保护_MC00003,MTPR_840Hb_CH_IEC104_V1.00.03_反向有功,1203H,1203H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,1,4,1#高后备保护_MC00004,MTPR_840Hb_CH_IEC104_V1.00.03_反向无功,1204H,1204H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,2,5,1#低后备保护_MC00005,MTPR_850Hb_CH_IEC104_V1.00.03_正向有功,1201H,1201H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,2,6,1#低后备保护_MC00006,MTPR_850Hb_CH_IEC104_V1.00.03_正向无功,1202H,1202H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,2,7,1#低后备保护_MC00007,MTPR_850Hb_CH_IEC104_V1.00.03_反向有功,1203H,1203H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,2,8,1#低后备保护_MC00008,MTPR_850Hb_CH_IEC104_V1.00.03_反向无功,1204H,1204H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,9,1#电容器保护_MC00009,MCPR_810Hb_CH_IEC104_V1.01.01_脉冲1,1201H,1201H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,10,1#电容器保护_MC00010,MCPR_810Hb_CH_IEC104_V1.01.01_脉冲2,1202H,1202H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,11,1#电容器保护_MC00011,MCPR_810Hb_CH_IEC104_V1.01.01_脉冲3,1203H,1203H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,12,1#电容器保护_MC00012,MCPR_810Hb_CH_IEC104_V1.01.01_脉冲4,1204H,1204H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,13,1#电容器保护_MC00013,MCPR_810Hb_CH_IEC104_V1.01.01_正向有功,1205H,1205H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,14,1#电容器保护_MC00014,MCPR_810Hb_CH_IEC104_V1.01.01_正向无功,1206H,1206H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,15,1#电容器保护_MC00015,MCPR_810Hb_CH_IEC104_V1.01.01_反向有功,1207H,1207H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,4,16,1#电容器保护_MC00016,MCPR_810Hb_CH_IEC104_V1.01.01_反向无功,1208H,1208H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,17,1#馈线保护1_MC00017,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲1,1201H,1201H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,18,1#馈线保护1_MC00018,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲2,1202H,1202H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,19,1#馈线保护1_MC00019,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲3,1203H,1203H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,20,1#馈线保护1_MC00020,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲4,1204H,1204H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,21,1#馈线保护1_MC00021,MLPR_810Hb_CH_IEC104_V1.02.01_正向有功,1205H,1205H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,22,1#馈线保护1_MC00022,MLPR_810Hb_CH_IEC104_V1.02.01_正向无功,1206H,1206H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,23,1#馈线保护1_MC00023,MLPR_810Hb_CH_IEC104_V1.02.01_反向有功,1207H,1207H,0,0,0,24,1.000000,0.000000,0.000000,0.000000,0,1
1,1,6,24,1#馈线保护1_MC00024,MLPR_810Hb_CH_IEC104_V1.02.01_反向无功,1208H,1208H,0,0,0,25,1.000000,0.000000,0.000000,0.000000,0,1
1,1,7,25,1#馈线保护2_MC00025,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲1,1201H,1201H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
1,1,7,26,1#馈线保护2_MC00026,MLPR_810Hb_CH_IEC104_V1.02.01_脉冲2,1202H,1202H,0,0,0,21,1.000000,0.000000,0.000000,0.000000,0,1
