遥测表
所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程量程,规约量程,工程值转换系数,工程值偏移量,小数位数,人工置数值,零漂死区,一级低限值,一级高限值,二级低限值,二级高限值,越限返回死区值,画面名称,存储周期,秒存储周期,对应遥信点,属性,报警属性,统计属性,电压报警属性,电压统计属性
1,1,1,1,1#高后备保护_YC00001,MTPR_840Hb_CH_IEC104_V1.00.03_IA,801H,801H,0,0,1,1,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,2,1#高后备保护_YC00002,MTPR_840Hb_CH_IEC104_V1.00.03_IB,802H,802H,0,0,1,1,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,3,1#高后备保护_YC00003,MTPR_840Hb_CH_IEC104_V1.00.03_IC,803H,803H,0,0,1,1,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,4,1#高后备保护_YC00004,MTPR_840Hb_CH_IEC104_V1.00.03_Uab,804H,804H,0,0,2,2,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,5,1#高后备保护_YC00005,MTPR_840Hb_CH_IEC104_V1.00.03_Ubc,805H,805H,0,0,2,2,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,6,1#高后备保护_YC00006,MTPR_840Hb_CH_IEC104_V1.00.03_Uca,806H,806H,0,0,2,2,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,7,1#高后备保护_YC00007,MTPR_840Hb_CH_IEC104_V1.00.03_U0,807H,807H,0,0,2,2,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,8,1#高后备保护_YC00008,MTPR_840Hb_CH_IEC104_V1.00.03_I0,808H,808H,0,0,8,1,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,9,1#高后备保护_YC00009,MTPR_840Hb_CH_IEC104_V1.00.03_有功功率,809H,809H,0,0,3,19,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
1,1,1,10,1#高后备保护_YC00010,MTPR_840Hb_CH_IEC104_V1.00.03_无功功率,80AH,80AH,0,0,4,20,1.000000,1.000000,1.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0,10,0,0,170,0
