遥控表
所属厂站,所属通道,所属RTU,编号,名称,描述,on操作地址,备on操作地址,所属间隔,所属设备,点类型,对应点类型,对应点,off操作地址,备off操作地址,每天最多允许次数,操作间隔限制,属性,闭锁属性,on允许计算点,off允许计算点,对应连锁点编号
1,1,1,1,1#高后备保护_YK00001,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅰ段投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,1,2,1#高后备保护_YK00002,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅱ段投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,1,3,1#高后备保护_YK00003,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅲ段投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,1,4,1#高后备保护_YK00004,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅰ段方向投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,1,5,1#高后备保护_YK00005,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅱ段方向投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,1,6,1#高后备保护_YK00006,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅲ段方向投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,1,7,1#高后备保护_YK00007,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅰ复压闭锁投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,1,8,1#高后备保护_YK00008,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅱ复压闭锁投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,1,9,1#高后备保护_YK00009,MTPR_840Hb_CH_IEC104_V1.00.03_过流Ⅲ复压闭锁投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,1,10,1#高后备保护_YK00010,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流Ⅰ段投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,1,11,1#高后备保护_YK00011,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流Ⅱ段投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,1,12,1#高后备保护_YK00012,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流Ⅰ段方向投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,1,13,1#高后备保护_YK00013,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流Ⅱ段方向投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,1,14,1#高后备保护_YK00014,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流ⅠU0闭锁投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,1,15,1#高后备保护_YK00015,MTPR_840Hb_CH_IEC104_V1.00.03_零序过流ⅡU0闭锁投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,1,16,1#高后备保护_YK00016,MTPR_840Hb_CH_IEC104_V1.00.03_过负荷投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,1,17,1#高后备保护_YK00017,MTPR_840Hb_CH_IEC104_V1.00.03_间隙零序过流投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,1,18,1#高后备保护_YK00018,MTPR_840Hb_CH_IEC104_V1.00.03_间隙零序过压投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,1,19,1#高后备保护_YK00019,MTPR_840Hb_CH_IEC104_V1.00.03_间隙零序过压零序有流闭锁投退,E13H,E13H,0,0,0,0,0,E13H,E13H,0,0,0,0,0,0,0
1,1,1,20,1#高后备保护_YK00020,MTPR_840Hb_CH_IEC104_V1.00.03_间隙并联输出功能投退,E14H,E14H,0,0,0,0,0,E14H,E14H,0,0,0,0,0,0,0
1,1,1,21,1#高后备保护_YK00021,MTPR_840Hb_CH_IEC104_V1.00.03_启动风冷投退,E15H,E15H,0,0,0,0,0,E15H,E15H,0,0,0,0,0,0,0
1,1,1,22,1#高后备保护_YK00022,MTPR_840Hb_CH_IEC104_V1.00.03_闭锁调压投退,E16H,E16H,0,0,0,0,0,E16H,E16H,0,0,0,0,0,0,0
1,1,1,23,1#高后备保护_YK00023,MTPR_840Hb_CH_IEC104_V1.00.03_零序选跳外变投退,E17H,E17H,0,0,0,0,0,E17H,E17H,0,0,0,0,0,0,0
1,1,1,24,1#高后备保护_YK00024,MTPR_840Hb_CH_IEC104_V1.00.03_外变跳本变投退,E18H,E18H,0,0,0,0,0,E18H,E18H,0,0,0,0,0,0,0
1,1,1,25,1#高后备保护_YK00025,MTPR_840Hb_CH_IEC104_V1.00.03_另侧复合电压闭锁投退,E19H,E19H,0,0,0,0,0,E19H,E19H,0,0,0,0,0,0,0
1,1,1,26,1#高后备保护_YK00026,MTPR_840Hb_CH_IEC104_V1.00.03_复合电压闭锁输出投退,E1AH,E1AH,0,0,0,0,0,E1AH,E1AH,0,0,0,0,0,0,0
1,1,1,27,1#高后备保护_YK00027,MTPR_840Hb_CH_IEC104_V1.00.03_PT断线告警投退,E1BH,E1BH,0,0,0,0,0,E1BH,E1BH,0,0,0,0,0,0,0
1,1,1,28,1#高后备保护_YK00028,MTPR_840Hb_CH_IEC104_V1.00.03_PT断线闭锁投退,E1CH,E1CH,0,0,0,0,0,E1CH,E1CH,0,0,0,0,0,0,0
1,1,1,29,1#高后备保护_YK00029,MTPR_840Hb_CH_IEC104_V1.00.03_CT断线告警投退,E1DH,E1DH,0,0,0,0,0,E1DH,E1DH,0,0,0,0,0,0,0
1,1,1,30,1#高后备保护_YK00030,MTPR_840Hb_CH_IEC104_V1.00.03_遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,1,31,1#高后备保护_YK00031,MTPR_840Hb_CH_IEC104_V1.00.03_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,2,32,1#低后备保护_YK00032,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅰ段投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,2,33,1#低后备保护_YK00033,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅱ段投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,2,34,1#低后备保护_YK00034,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅲ段投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,2,35,1#低后备保护_YK00035,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅰ段方向投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,2,36,1#低后备保护_YK00036,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅱ段方向投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,2,37,1#低后备保护_YK00037,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅲ段方向投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,2,38,1#低后备保护_YK00038,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅰ复压闭锁投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,2,39,1#低后备保护_YK00039,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅱ复压闭锁投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,2,40,1#低后备保护_YK00040,MTPR_850Hb_CH_IEC104_V1.00.03_过流Ⅲ复压闭锁投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,2,41,1#低后备保护_YK00041,MTPR_850Hb_CH_IEC104_V1.00.03_零序电压告警投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,2,42,1#低后备保护_YK00042,MTPR_850Hb_CH_IEC104_V1.00.03_母线充电保护投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,2,43,1#低后备保护_YK00043,MTPR_850Hb_CH_IEC104_V1.00.03_零序过流保护投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,2,44,1#低后备保护_YK00044,MTPR_850Hb_CH_IEC104_V1.00.03_过负荷投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,2,45,1#低后备保护_YK00045,MTPR_850Hb_CH_IEC104_V1.00.03_启动风冷投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,2,46,1#低后备保护_YK00046,MTPR_850Hb_CH_IEC104_V1.00.03_闭锁调压投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,2,47,1#低后备保护_YK00047,MTPR_850Hb_CH_IEC104_V1.00.03_另侧复合电压闭锁投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,2,48,1#低后备保护_YK00048,MTPR_850Hb_CH_IEC104_V1.00.03_复合电压闭锁输出投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,2,49,1#低后备保护_YK00049,MTPR_850Hb_CH_IEC104_V1.00.03_PT断线告警投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,2,50,1#低后备保护_YK00050,MTPR_850Hb_CH_IEC104_V1.00.03_PT断线闭锁投退,E13H,E13H,0,0,0,0,0,E13H,E13H,0,0,0,0,0,0,0
