;遥信表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,人工置数值,挂牌号,画面名称,属性,报警属性,统计属性
1,1,1,1,1#高后备保护_YX00001,MTPR_840Hb_CH_IEC104_V1.00.03_断路器位置,1H,1H,0,0,1,0,0,,4,202,0
1,1,1,2,1#高后备保护_YX00002,MTPR_840Hb_CH_IEC104_V1.00.03_小车工作位置,2H,2H,0,0,34,0,0,,4,202,0
1,1,1,3,1#高后备保护_YX00003,MTPR_840Hb_CH_IEC104_V1.00.03_小车试验位置,3H,3H,0,0,35,0,0,,4,202,0
1,1,1,4,1#高后备保护_YX00004,MTPR_840Hb_CH_IEC104_V1.00.03_接地刀位置,4H,4H,0,0,0,0,0,,4,202,0
1,1,1,5,1#高后备保护_YX00005,MTPR_840Hb_CH_IEC104_V1.00.03_弹簧未储能,5H,5H,0,0,0,0,0,,4,202,0
1,1,1,6,1#高后备保护_YX00006,MTPR_840Hb_CH_IEC104_V1.00.03_另侧复合电压,6H,6H,0,0,0,0,0,,4,202,0
1,1,1,7,1#高后备保护_YX00007,MTPR_840Hb_CH_IEC104_V1.00.03_外变跳本变,7H,7H,0,0,0,0,0,,4,202,0
1,1,1,8,1#高后备保护_YX00008,MTPR_840Hb_CH_IEC104_V1.00.03_开入8,8H,8H,0,0,0,0,0,,4,202,0
1,1,1,9,1#高后备保护_YX00009,MTPR_840Hb_CH_IEC104_V1.00.03_开入9,9H,9H,0,0,0,0,0,,4,202,0
1,1,1,10,1#高后备保护_YX00010,MTPR_840Hb_CH_IEC104_V1.00.03_开入10,AH,AH,0,0,0,0,0,,4,202,0
1,1,1,11,1#高后备保护_YX00011,MTPR_840Hb_CH_IEC104_V1.00.03_开入11,BH,BH,0,0,0,0,0,,4,202,0
1,1,1,12,1#高后备保护_YX00012,MTPR_840Hb_CH_IEC104_V1.00.03_开入12,CH,CH,0,0,0,0,0,,4,202,0
1,1,1,13,1#高后备保护_YX00013,MTPR_840Hb_CH_IEC104_V1.00.03_手跳入,DH,DH,0,0,0,0,0,,4,202,0
1,1,1,14,1#高后备保护_YX00014,MTPR_840Hb_CH_IEC104_V1.00.03_手合入,EH,EH,0,0,0,0,0,,4,202,0
1,1,1,15,1#高后备保护_YX00015,MTPR_840Hb_CH_IEC104_V1.00.03_操作回路,FH,FH,0,0,0,0,0,,4,202,0
1,1,1,16,1#高后备保护_YX00016,MTPR_840Hb_CH_IEC104_V1.00.03_开入13,10H,10H,0,0,0,0,0,,4,202,0
1,1,1,17,1#高后备保护_YX00017,MTPR_840Hb_CH_IEC104_V1.00.03_间隙保护压板,11H,11H,0,0,0,0,0,,4,202,0
