;电度表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程值转换系数,电度表满量程值,电度基数,人工置数,存储周期,属性
1,1,1,1,"RTU001_MC00001","1#高后备_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,1,2,"RTU001_MC00002","1#高后备_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,1,3,"RTU001_MC00003","1#高后备_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,1,4,"RTU001_MC00004","1#高后备_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,2,5,"RTU002_MC00005","1#低后备_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,2,6,"RTU002_MC00006","1#低后备_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,2,7,"RTU002_MC00007","1#低后备_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,2,8,"RTU002_MC00008","1#低后备_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,3,9,"RTU003_MC00009","1#差动保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,3,10,"RTU003_MC00010","1#差动保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,3,11,"RTU003_MC00011","1#差动保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,3,12,"RTU003_MC00012","1#差动保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,4,13,"RTU004_MC00013","1#电容器保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,4,14,"RTU004_MC00014","1#电容器保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,4,15,"RTU004_MC00015","1#电容器保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,4,16,"RTU004_MC00016","1#电容器保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,6,17,"RTU006_MC00017","1#馈线保护1_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,6,18,"RTU006_MC00018","1#馈线保护1_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,6,19,"RTU006_MC00019","1#馈线保护1_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,6,20,"RTU006_MC00020","1#馈线保护1_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,7,21,"RTU007_MC00021","1#馈线保护2_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,7,22,"RTU007_MC00022","1#馈线保护2_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,7,23,"RTU007_MC00023","1#馈线保护2_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,7,24,"RTU007_MC00024","1#馈线保护2_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,8,25,"RTU008_MC00025","1#馈线保护3_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,8,26,"RTU008_MC00026","1#馈线保护3_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,8,27,"RTU008_MC00027","1#馈线保护3_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,8,28,"RTU008_MC00028","1#馈线保护3_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,9,29,"RTU009_MC00029","母联保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,9,30,"RTU009_MC00030","母联保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,9,31,"RTU009_MC00031","母联保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,9,32,"RTU009_MC00032","母联保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,10,33,"RTU010_MC00033","2#高后备保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,10,34,"RTU010_MC00034","2#高后备保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,10,35,"RTU010_MC00035","2#高后备保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,10,36,"RTU010_MC00036","2#高后备保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,11,37,"RTU011_MC00037","2#低后备保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,11,38,"RTU011_MC00038","2#低后备保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,11,39,"RTU011_MC00039","2#低后备保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,11,40,"RTU011_MC00040","2#低后备保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,12,41,"RTU012_MC00041","2#差动保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,12,42,"RTU012_MC00042","2#差动保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,12,43,"RTU012_MC00043","2#差动保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,12,44,"RTU012_MC00044","2#差动保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,13,45,"RTU013_MC00045","2#电容器保护_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,13,46,"RTU013_MC00046","2#电容器保护_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,13,47,"RTU013_MC00047","2#电容器保护_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,13,48,"RTU013_MC00048","2#电容器保护_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,15,49,"RTU015_MC00049","2#馈线保护1_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,15,50,"RTU015_MC00050","2#馈线保护1_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,15,51,"RTU015_MC00051","2#馈线保护1_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,15,52,"RTU015_MC00052","2#馈线保护1_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,16,53,"RTU016_MC00053","2#馈线保护2_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,16,54,"RTU016_MC00054","2#馈线保护2_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,16,55,"RTU016_MC00055","2#馈线保护2_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,16,56,"RTU016_MC00056","2#馈线保护2_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,1,17,57,"RTU017_MC00057","2#馈线保护3_正向有功","1201H","0H",0,0,0,0,1,0,0,0,5,1
1,1,17,58,"RTU017_MC00058","2#馈线保护3_正向无功","1202H","0H",0,0,0,0,1,0,0,0,5,1
1,1,17,59,"RTU017_MC00059","2#馈线保护3_反向有功","1203H","0H",0,0,0,0,1,0,0,0,5,1
1,1,17,60,"RTU017_MC00060","2#馈线保护3_反向无功","1204H","0H",0,0,0,0,1,0,0,0,5,1
1,4,18,61,"MC00001","正向有功","1201H","1201H",0,0,0,24,1,0,0,0,5,1
1,4,18,62,"MC00002","正向无功","1202H","1202H",0,0,0,25,1,0,0,0,5,1
1,4,18,63,"MC00003","反向有功","1203H","1203H",0,0,0,24,1,0,0,0,5,1
1,4,18,64,"MC00004","反向无功","1204H","1204H",0,0,0,25,1,0,0,0,5,1
1,4,19,65,"MC00005","正向有功","1201H","1201H",0,0,0,24,1,0,0,0,5,1
