;遥信表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,人工置数值,挂牌号,画面名称,属性,报警属性,统计属性
1,1,1,1,"RTU001_YX00001","1#高后备_断路器合闸位置遥信","1H","1H",0,0,1,0,0,"",4,202,0
1,1,1,2,"RTU001_YX00002","1#高后备_断路器分闸位置遥信","2H","2H",0,0,0,0,0,"",4,202,0
1,1,1,3,"RTU001_YX00003","1#高后备_小车工作位置遥信","3H","3H",0,0,0,0,0,"",4,202,0
1,1,1,4,"RTU001_YX00004","1#高后备_小车试验位置遥信","4H","4H",0,0,0,0,0,"",4,202,0
1,1,1,5,"RTU001_YX00005","1#高后备_接地刀位置遥信","5H","5H",0,0,0,0,0,"",4,202,0
1,1,1,6,"RTU001_YX00006","1#高后备_弹簧已储能遥信","6H","6H",0,0,0,0,0,"",4,202,0
1,1,1,7,"RTU001_YX00007","1#高后备_重瓦斯跳闸遥信","7H","7H",0,0,0,0,0,"",4,202,0
1,1,1,8,"RTU001_YX00008","1#高后备_轻瓦斯告警遥信","8H","8H",0,0,0,0,0,"",4,202,0
1,1,1,9,"RTU001_YX00009","1#高后备_超温跳闸遥信","9H","9H",0,0,0,0,0,"",4,202,0
1,1,1,10,"RTU001_YX00010","1#高后备_温度告警遥信","AH","AH",0,0,0,0,0,"",4,202,0
1,1,1,11,"RTU001_YX00011","1#高后备_压力释放遥信","BH","BH",0,0,0,0,0,"",4,202,0
1,1,1,12,"RTU001_YX00012","1#高后备_开入12遥信","CH","CH",0,0,0,0,0,"",4,202,0
1,1,1,13,"RTU001_YX00013","1#高后备_开入13遥信","DH","DH",0,0,0,0,0,"",4,202,0
1,1,1,14,"RTU001_YX00014","1#高后备_HWJ信号遥信","EH","EH",0,0,0,0,0,"",4,202,0
1,1,1,15,"RTU001_YX00015","1#高后备_TWJ信号遥信","FH","FH",0,0,0,0,0,"",4,202,0
1,1,1,16,"RTU001_YX00016","1#高后备_手合开入遥信","10H","10H",0,0,0,0,0,"",4,202,0
1,1,1,17,"RTU001_YX00017","1#高后备_手跳开入遥信","11H","11H",0,0,0,0,0,"",4,202,0
1,1,1,18,"RTU001_YX00018","1#高后备_加热回路1遥信","12H","12H",0,0,0,0,0,"",4,202,0
1,1,1,19,"RTU001_YX00019","1#高后备_加热回路2遥信","13H","13H",0,0,0,0,0,"",4,202,0
1,1,1,20,"RTU001_YX00020","1#高后备_远方就地信号","14H","14H",0,0,0,0,0,"",4,202,0
1,1,1,21,"RTU001_YX00021","1#高后备_电流速断保护跳闸","C8H","C8H",0,0,5,0,0,"",4,202,0
1,1,1,22,"RTU001_YX00022","1#高后备_限时电流速断保护跳闸","C9H","C9H",0,0,5,0,0,"",4,202,0
1,1,1,23,"RTU001_YX00023","1#高后备_定时限过电流保护跳闸","CAH","CAH",0,0,5,0,0,"",4,202,0
1,1,1,24,"RTU001_YX00024","1#高后备_反时限过电流保护跳闸","CBH","CBH",0,0,5,0,0,"",4,202,0
1,1,1,25,"RTU001_YX00025","1#高后备_负序定时限过流保护跳闸","CCH","CCH",0,0,5,0,0,"",4,202,0
1,1,1,26,"RTU001_YX00026","1#高后备_负序反时限过流保护跳闸","CDH","CDH",0,0,5,0,0,"",4,202,0
1,1,1,27,"RTU001_YX00027","1#高后备_过负荷告警","CEH","CEH",0,0,5,0,0,"",4,202,0
1,1,1,28,"RTU001_YX00028","1#高后备_过负荷跳闸","CFH","CFH",0,0,5,0,0,"",4,202,0
1,1,1,29,"RTU001_YX00029","1#高后备_零序过压告警","D0H","D0H",0,0,5,0,0,"",4,202,0
1,1,1,30,"RTU001_YX00030","1#高后备_零序过压跳闸","D1H","D1H",0,0,5,0,0,"",4,202,0
1,1,1,31,"RTU001_YX00031","1#高后备_零序过流I段跳闸","D2H","D2H",0,0,5,0,0,"",4,202,0
1,1,1,32,"RTU001_YX00032","1#高后备_零序过流Ⅱ段跳闸","D3H","D3H",0,0,5,0,0,"",4,202,0
1,1,1,33,"RTU001_YX00033","1#高后备_零序过流Ⅲ段告警","D4H","D4H",0,0,5,0,0,"",4,202,0
1,1,1,34,"RTU001_YX00034","1#高后备_零序过流Ⅲ段跳闸","D5H","D5H",0,0,5,0,0,"",4,202,0
1,1,1,35,"RTU001_YX00035","1#高后备_低压零序定时限过流跳闸","D6H","D6H",0,0,5,0,0,"",4,202,0
1,1,1,36,"RTU001_YX00036","1#高后备_低压零序反时限过流跳闸","D7H","D7H",0,0,5,0,0,"",4,202,0
1,1,1,37,"RTU001_YX00037","1#高后备_低电压跳闸","D8H","D8H",0,0,5,0,0,"",4,202,0
1,1,1,38,"RTU001_YX00038","1#高后备_过电压跳闸","D9H","D9H",0,0,5,0,0,"",4,202,0
1,1,1,39,"RTU001_YX00039","1#高后备_重瓦斯跳闸","DAH","DAH",0,0,5,0,0,"",4,202,0
1,1,1,40,"RTU001_YX00040","1#高后备_轻瓦斯告警","DBH","DBH",0,0,5,0,0,"",4,202,0
1,1,1,41,"RTU001_YX00041","1#高后备_超温跳闸","DCH","DCH",0,0,5,0,0,"",4,202,0
1,1,1,42,"RTU001_YX00042","1#高后备_温度告警","DDH","DDH",0,0,5,0,0,"",4,202,0
1,1,1,43,"RTU001_YX00043","1#高后备_压力释放跳闸","DEH","DEH",0,0,5,0,0,"",4,202,0
1,1,1,44,"RTU001_YX00044","1#高后备_非电量保护跳闸","DFH","DFH",0,0,5,0,0,"",4,202,0
1,1,1,45,"RTU001_YX00045","1#高后备_PT断线告警","E0H","E0H",0,0,5,0,0,"",4,202,0
1,1,1,46,"RTU001_YX00046","1#高后备_控制回路断线告警","E1H","E1H",0,0,5,0,0,"",4,202,0
1,1,1,47,"RTU001_YX00047","1#高后备_备用","E2H","E2H",0,0,5,0,0,"",4,202,0
1,1,1,48,"RTU001_YX00048","1#高后备_备用","E3H","E3H",0,0,5,0,0,"",4,202,0
1,1,1,49,"RTU001_YX00049","1#高后备_备用","E4H","E4H",0,0,5,0,0,"",4,202,0
1,1,1,50,"RTU001_YX00050","1#高后备_备用","E5H","E5H",0,0,5,0,0,"",4,202,0
1,1,1,51,"RTU001_YX00051","1#高后备_事故总信号","E6H","E6H",0,0,5,0,0,"",4,202,0
1,1,1,52,"RTU001_YX00052","1#高后备_预告总信号","E7H","E7H",0,0,5,0,0,"",4,202,0
1,1,1,53,"RTU001_YX00053","1#高后备_电流速断保护投退","190H","190H",0,0,1,0,0,"",4,202,0
1,1,1,54,"RTU001_YX00054","1#高后备_限时电流速断保护投退","191H","191H",0,0,1,0,0,"",4,202,0
1,1,1,55,"RTU001_YX00055","1#高后备_定时限过电流投退","192H","192H",0,0,1,0,0,"",4,202,0
1,1,1,56,"RTU001_YX00056","1#高后备_电流速断复压闭锁投退","193H","193H",0,0,1,0,0,"",4,202,0
1,1,1,57,"RTU001_YX00057","1#高后备_限时电流速断复压闭锁投退","194H","194H",0,0,1,0,0,"",4,202,0
1,1,1,58,"RTU001_YX00058","1#高后备_定时限过电流复压闭锁投退","195H","195H",0,0,1,0,0,"",4,202,0
1,1,1,59,"RTU001_YX00059","1#高后备_反时限过电流投退","196H","196H",0,0,1,0,0,"",4,202,0
1,1,1,60,"RTU001_YX00060","1#高后备_负序定时限过流投退","197H","197H",0,0,1,0,0,"",4,202,0
1,1,1,61,"RTU001_YX00061","1#高后备_负序反时限过流投退","198H","198H",0,0,1,0,0,"",4,202,0
1,1,1,62,"RTU001_YX00062","1#高后备_过负荷告警投退","199H","199H",0,0,1,0,0,"",4,202,0
1,1,1,63,"RTU001_YX00063","1#高后备_过负荷跳闸投退","19AH","19AH",0,0,1,0,0,"",4,202,0
