;转发脉冲表,,,,,,,,,,,,,,,,
;所属通道,所属RTU,编号,名称,描述,地址,关联点类型,关联点所属场站,关联点所属通道,关联点所属RTU,关联点编号,关联点地址,系数,偏移量,变化门槛值,零漂死区,属性
2,1,1,TMC0001,1#馈线_正向有功,1201H,1,1,1,1,1,1201H,1,0,0.01,0,0
2,1,2,TMC0002,1#馈线_正向无功,1202H,1,1,1,1,2,1202H,1,0,0.01,0,0
2,1,3,TMC0003,1#馈线_反向有功,1203H,1,1,1,1,3,1203H,1,0,0.01,0,0
2,1,4,TMC0004,1#馈线_反向无功,1204H,1,1,1,1,4,1204H,1,0,0.01,0,0
2,2,5,TMC0005,2#馈线_正向有功,1201H,1,1,1,2,5,1201H,1,0,0.01,0,0
2,2,6,TMC0006,2#馈线_正向无功,1202H,1,1,1,2,6,1202H,1,0,0.01,0,0
2,2,7,TMC0007,2#馈线_反向有功,1203H,1,1,1,2,7,1203H,1,0,0.01,0,0
2,2,8,TMC0008,2#馈线_反向无功,1204H,1,1,1,2,8,1204H,1,0,0.01,0,0
2,3,9,TMC0009,3#馈线_正向有功,1201H,1,1,1,3,9,1201H,1,0,0.01,0,0
2,3,10,TMC0010,3#馈线_正向无功,1202H,1,1,1,3,10,1202H,1,0,0.01,0,0
2,3,11,TMC0011,3#馈线_反向有功,1203H,1,1,1,3,11,1203H,1,0,0.01,0,0
2,3,12,TMC0012,3#馈线_反向无功,1204H,1,1,1,3,12,1204H,1,0,0.01,0,0
