;转发遥测表,,,,,,,,,,,,,,,,
;所属通道,所属RTU,编号,名称,描述,地址,关联点类型,关联点所属场站,关联点所属通道,关联点所属RTU,关联点编号,关联点地址,系数,偏移量,变化门槛值,零漂死区,属性
2,1,1,TYC00001,1#馈线_IA,801H,1,1,1,1,1,801H,1,0,0.01,0,0
2,1,2,TYC00002,1#馈线_IB,802H,1,1,1,1,2,802H,1,0,0.01,0,0
2,1,3,TYC00003,1#馈线_IC,803H,1,1,1,1,3,803H,1,0,0.01,0,0
2,1,4,TYC00004,1#馈线_Uab,804H,1,1,1,1,4,804H,1,0,0.01,0,0
2,1,5,TYC00005,1#馈线_Ubc,805H,1,1,1,1,5,805H,1,0,0.01,0,0
2,1,6,TYC00006,1#馈线_Uca,806H,1,1,1,1,6,806H,1,0,0.01,0,0
2,1,7,TYC00007,1#馈线_U0,807H,1,1,1,1,7,807H,1,0,0.01,0,0
2,1,8,TYC00008,1#馈线_I0,808H,1,1,1,1,8,808H,1,0,0.01,0,0
2,1,9,TYC00009,1#馈线_UabL,809H,1,1,1,1,9,809H,1,0,0.01,0,0
2,1,10,TYC00010,1#馈线_UbcL,80AH,1,1,1,1,10,80AH,1,0,0.01,0,0
2,1,11,TYC00011,1#馈线_UcaL,80BH,1,1,1,1,11,80BH,1,0,0.01,0,0
2,1,12,TYC00012,1#馈线_有功功率,80CH,1,1,1,1,12,80CH,1,0,0.01,0,0
2,1,13,TYC00013,1#馈线_无功功率,80DH,1,1,1,1,13,80DH,1,0,0.01,0,0
2,1,14,TYC00014,1#馈线_功率因数,80EH,1,1,1,1,14,80EH,1,0,0.01,0,0
2,1,15,TYC00015,1#馈线_母线频率,80FH,1,1,1,1,15,80FH,1,0,0.01,0,0
2,1,16,TYC00016,1#馈线_线路频率,810H,1,1,1,1,16,810H,1,0,0.01,0,0
2,1,17,TYC00017,1#馈线_温度1,811H,1,1,1,1,17,811H,1,0,0.01,0,0
2,1,18,TYC00018,1#馈线_湿度1,812H,1,1,1,2,18,812H,1,0,0.01,0,0
2,1,19,TYC00019,1#馈线_温度2,813H,1,1,1,2,19,813H,1,0,0.01,0,0
2,1,20,TYC00020,1#馈线_湿度2,814H,1,1,1,2,20,814H,1,0,0.01,0,0
2,2,21,TYC00021,2#馈线_IA,801H,1,1,1,2,21,801H,1,0,0.01,0,0
2,2,22,TYC00022,2#馈线_IB,802H,1,1,1,2,22,802H,1,0,0.01,0,0
2,2,23,TYC00023,2#馈线_IC,803H,1,1,1,2,23,803H,1,0,0.01,0,0
2,2,24,TYC00024,2#馈线_Uab,804H,1,1,1,2,24,804H,1,0,0.01,0,0
2,2,25,TYC00025,2#馈线_Ubc,805H,1,1,1,2,25,805H,1,0,0.01,0,0
2,2,26,TYC00026,2#馈线_Uca,806H,1,1,1,2,26,806H,1,0,0.01,0,0
2,2,27,TYC00027,2#馈线_U0,807H,1,1,1,2,27,807H,1,0,0.01,0,0
2,2,28,TYC00028,2#馈线_I0,808H,1,1,1,2,28,808H,1,0,0.01,0,0
2,2,29,TYC00029,2#馈线_UabL,809H,1,1,1,2,29,809H,1,0,0.01,0,0
2,2,30,TYC00030,2#馈线_UbcL,80AH,1,1,1,2,30,80AH,1,0,0.01,0,0
2,2,31,TYC00031,2#馈线_UcaL,80BH,1,1,1,2,31,80BH,1,0,0.01,0,0
2,2,32,TYC00032,2#馈线_有功功率,80CH,1,1,1,2,32,80CH,1,0,0.01,0,0
2,2,33,TYC00033,2#馈线_无功功率,80DH,1,1,1,2,33,80DH,1,0,0.01,0,0
2,2,34,TYC00034,2#馈线_功率因数,80EH,1,1,1,2,34,80EH,1,0,0.01,0,0
2,2,35,TYC00035,2#馈线_母线频率,80FH,1,1,1,3,35,80FH,1,0,0.01,0,0
2,2,36,TYC00036,2#馈线_线路频率,810H,1,1,1,3,36,810H,1,0,0.01,0,0
2,2,37,TYC00037,2#馈线_温度1,811H,1,1,1,3,37,811H,1,0,0.01,0,0
2,2,38,TYC00038,2#馈线_湿度1,812H,1,1,1,3,38,812H,1,0,0.01,0,0
2,2,39,TYC00039,2#馈线_温度2,813H,1,1,1,3,39,813H,1,0,0.01,0,0
2,2,40,TYC00040,2#馈线_湿度2,814H,1,1,1,3,40,814H,1,0,0.01,0,0
2,3,41,TYC00041,3#馈线_IA3,801H,1,1,1,3,41,801H,1,0,0.01,0,0
2,3,42,TYC00042,3#馈线_IC3,802H,1,1,1,3,42,802H,1,0,0.01,0,0
2,3,43,TYC00043,3#馈线_Uab1,803H,1,1,1,3,43,803H,1,0,0.01,0,0
2,3,44,TYC00044,3#馈线_Ubc1,804H,1,1,1,3,44,804H,1,0,0.01,0,0
2,3,45,TYC00045,3#馈线_Uab2,805H,1,1,1,3,45,805H,1,0,0.01,0,0
2,3,46,TYC00046,3#馈线_Ubc2,806H,1,1,1,3,46,806H,1,0,0.01,0,0
2,3,47,TYC00047,3#馈线_分段有功功率,807H,1,1,1,3,47,807H,1,0,0.01,0,0
2,3,48,TYC00048,3#馈线_分段无功功率,808H,1,1,1,3,48,808H,1,0,0.01,0,0
2,3,49,TYC00049,3#馈线_分段功率因数,809H,1,1,1,3,49,809H,1,0,0.01,0,0
2,3,50,TYC00050,3#馈线_UL1,80AH,1,1,1,3,50,80AH,1,0,0.01,0,0
2,3,51,TYC00051,3#馈线_UL2,80BH,1,1,1,3,51,80BH,1,0,0.01,0,0
2,3,52,TYC00052,3#馈线_温度1,80CH,1,1,1,4,52,80CH,1,0,0.01,0,0
2,3,53,TYC00053,3#馈线_湿度1,80DH,1,1,1,4,53,80DH,1,0,0.01,0,0
