;遥测表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程量程,规约量程,工程值转换系数,工程值偏移量,小数位数,人工置数值,零漂死区,一级低限值,一级高限值,二级低限值,二级高限值,越限返回死区值,画面名称,存储周期,秒存储周期,对应遥信点,属性,报警属性,统计属性,电压报警属性,电压统计属性
1,1,1,1,"RTU00001_YC00001","1#馈线_IA","801H","801H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,2,"RTU00001_YC00002","1#馈线_IB","802H","802H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,3,"RTU00001_YC00003","1#馈线_IC","803H","803H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,4,"RTU00001_YC00004","1#馈线_Uab","804H","804H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,5,"RTU00001_YC00005","1#馈线_Ubc","805H","805H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,6,"RTU00001_YC00006","1#馈线_Uca","806H","806H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,7,"RTU00001_YC00007","1#馈线_U0","807H","807H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,8,"RTU00001_YC00008","1#馈线_I0","808H","808H",0,0,8,1,1,1,1,0,3,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,9,"RTU00001_YC00009","1#馈线_UabL","809H","809H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,10,"RTU00001_YC00010","1#馈线_UbcL","80AH","80AH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,11,"RTU00001_YC00011","1#馈线_UcaL","80BH","80BH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,12,"RTU00001_YC00012","1#馈线_有功功率","80CH","80CH",0,0,3,19,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,13,"RTU00001_YC00013","1#馈线_无功功率","80DH","80DH",0,0,4,20,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
