";""遥测表""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
";""所属厂站""",所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程量程,规约量程,工程值转换系数,工程值偏移量,小数位数,人工置数值,零漂死区,一级低限值,一级高限值,二级低限值,二级高限值,越限返回死区值,画面名称,存储周期,秒存储周期,对应遥信点,属性,报警属性,统计属性,电压报警属性,电压统计属性
1,1,3,41,RTU00003_YC00041,IA3,801H,801H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,42,RTU00003_YC00042,IC3,802H,802H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,43,RTU00003_YC00043,Uab1,803H,803H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,44,RTU00003_YC00044,Ubc1,804H,804H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,45,RTU00003_YC00045,Uab2,805H,805H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,46,RTU00003_YC00046,Ubc2,806H,806H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,47,RTU00003_YC00047,分段有功功率,807H,807H,0,0,3,19,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,48,RTU00003_YC00048,分段无功功率,808H,808H,0,0,4,20,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,49,RTU00003_YC00049,分段功率因数,809H,809H,0,0,5,21,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,50,RTU00003_YC00050,UL1,80AH,80AH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,51,RTU00003_YC00051,UL2,80BH,80BH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,52,RTU00003_YC00052,温度1,80CH,80CH,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
