";""遥控表""",,,,,,,,,,,,,,,,,,,,,
";""所属厂站""",所属通道,所属RTU,编号,名称,描述,on操作地址,备on操作地址,所属间隔,所属设备,点类型,对应点类型,对应点,off操作地址,备off操作地址,每天最多允许次数,操作间隔限制,属性,闭锁属性,on允许计算点,off允许计算点,对应连锁点编号
1,1,3,53,RTU00003_YK00053,遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,3,54,RTU00003_YK00054,复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,3,55,RTU00003_YK00055,备自投动作投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,3,56,RTU00003_YK00056,工作方式选择,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,3,57,RTU00003_YK00057,主进线选择,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,3,58,RTU00003_YK00058,进线有电方式选择,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,3,59,RTU00003_YK00059,备自投跳闸加速,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,3,60,RTU00003_YK00060,1#PT断线告警投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,3,61,RTU00003_YK00061,2#PT断线告警投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,3,62,RTU00003_YK00062,位置异常闭锁投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,3,63,RTU00003_YK00063,外部闭锁备自投,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,3,64,RTU00003_YK00064,复合电压选择,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,3,65,RTU00003_YK00065,分段过流投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,3,66,RTU00003_YK00066,复合电压闭锁过流,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,3,67,RTU00003_YK00067,母充保护投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,3,68,RTU00003_YK00068,复合电压闭锁母充,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,2,27,RTU00002_YK00027,遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,2,28,RTU00002_YK00028,复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,2,29,RTU00002_YK00029,过流Ⅰ段保护投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,2,30,RTU00002_YK00030,过流Ⅱ段保护投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,2,31,RTU00002_YK00031,过流Ⅲ段保护投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,2,32,RTU00002_YK00032,零序过流告警投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
